Order_ID,Order_Date,Shipping_Date,Aging,Ship_Mode,Product_Category,Product, Sales ,Quantity,Discount, Profit , Shipping_Cost ,Order_Priority,Customer_ID,Customer_Name,Segment,City,State,Country,Region
AU-2015-30,1/23/2023,1/27/2023,4,First Class,Auto & Accessories,Car Body Covers, $117.0 ,1,0.02, $34.7 , $3.5 ,High,AS-0030,Poole Lucas,Corporate,Palembang,Sumatera Selatan,Indonesia,Southeast Asia
AU-2015-50,1/25/2023,1/30/2023,5,First Class,Auto & Accessories,Tyre, $250.0 ,2,0.01, $165.0 , $16.5 ,Medium,RS-0050,Hernandez Badders,Home Office,Guaymas,Sonora,Mexico,North
AU-2015-59,1/6/2023,1/12/2023,6,First Class,Auto & Accessories,Tyre, $250.0 ,1,0.04, $160.0 , $16.0 ,Medium,EN-0059,Kelly Braden,Corporate,Detroit,Michigan,United States,Central
AU-2015-81,1/19/2023,1/27/2023,8,First Class,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,1,0.03, $144.1 , $14.4 ,High,NA-0081,Vasquez Dona,Consumer,Xiangtan,Hunan,China,North Asia
AU-2015-97,1/24/2023,1/31/2023,7,First Class,Auto & Accessories,Car Mat, $54.0 ,5,0.02, $10.8 , $1.1 ,High,ON-0097,Hatfield Trafton,Consumer,Vienna,Vienna,Austria,Central
AU-2015-124,1/27/2023,2/3/2023,7,First Class,Auto & Accessories,Car Mat, $54.0 ,1,0.01, $54.0 , $5.4 ,High,ST-00124,Bullock Prost,Consumer,Perth,Western Australia,Australia,Oceania
AU-2015-139,1/8/2023,1/9/2023,1,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,5,0.04, $14.4 , $1.4 ,Critical,TZ-00139,Maxwell Katz,Consumer,Kumasi,Ashanti,Ghana,Africa
AU-2015-152,1/25/2023,1/27/2023,2,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.04, $15.8 , $1.6 ,Critical,LS-00152,Andrews Daniels,Corporate,Bangalore,Karnataka,India,Central Asia
AU-2015-172,1/1/2023,1/9/2023,8,First Class,Auto & Accessories,Car Media Players, $140.0 ,4,0.02, $48.8 , $4.9 ,Critical,HY-00172,Mathis Mccarthy,Consumer,Zapopan,Jalisco,Mexico,North
AU-2015-183,1/21/2023,1/23/2023,2,First Class,Auto & Accessories,Car Body Covers, $117.0 ,5,0.04, $13.6 , $1.4 ,Medium,CH-00183,Bates Gockenbach,Consumer,Wafangdian,Liaoning,China,North Asia
AU-2015-195,1/5/2023,1/12/2023,7,First Class,Auto & Accessories,Bike Tyres, $72.0 ,3,0.03, $24.0 , $2.4 ,Medium,ER-00195,Day Ferrer,Home Office,Stoke-on-Trent,England,United Kingdom,North
AU-2015-216,1/24/2023,1/29/2023,5,First Class,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,5,0.05, $93.3 , $9.3 ,High,AN-00216,Miranda Ryan,Home Office,Providence,Rhode Island,United States,East
AU-2015-226,1/23/2023,1/29/2023,6,First Class,Auto & Accessories,Car Media Players, $140.0 ,2,0.04, $48.8 , $4.9 ,High,PO-00226,Gallagher Ocampo,Corporate,Thane,Maharashtra,India,Central Asia
AU-2015-236,1/27/2023,2/5/2023,9,First Class,Auto & Accessories,Car Speakers, $211.0 ,1,0.04, $122.6 , $12.3 ,Critical,EY-00236,Ruiz Darley,Corporate,Bayonne,Aquitaine,France,Central
AU-2015-244,1/28/2023,2/6/2023,9,First Class,Auto & Accessories,Car Media Players, $140.0 ,5,0.04, $32.0 , $3.2 ,High,CH-00244,Russell Buch,Home Office,Gold Coast,Queensland,Australia,Oceania
AU-2015-247,1/23/2023,1/31/2023,8,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,5,0.01, $32.1 , $3.2 ,Medium,NS-00247,Armstrong Dawkins,Home Office,Mixco,Guatemala,Guatemala,Central
AU-2015-250,1/30/2023,2/9/2023,10,First Class,Auto & Accessories,Car Mat, $54.0 ,1,0.04, $54.0 , $5.4 ,Critical,IS-00250,Gilmore Norris,Home Office,Rueil-Malmaison,Ile-de-France,France,Central
AU-2015-251,1/2/2023,1/10/2023,8,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,1,0.03, $30.6 , $3.1 ,Medium,IS-00251,Gilmore Norris,Home Office,Makurdi,Benue,Nigeria,Africa
